"","cuedAR","uncuedAR","sameDirection1S0D","responseAR","barkod"
"282",-0.09266412,0.13899498,"Ungrouped",-0.0718946796551724,9
"303",-0.09266412,0.18532679,"Ungrouped",-0.00280846848484849,9
"324",-0.09266412,0.23165861,"Ungrouped",-0.00858044666666667,9
"345",-0.09266412,0.27799043,"Ungrouped",-0.0424713127777778,9
"366",-0.09266412,0.32432225,"Ungrouped",-0.0407724788,9
"387",-0.09266412,0.37065407,"Ungrouped",-0.0605882419230769,9
"408",-0.09266412,0.41698588,"Ungrouped",-0.0685715312,9
"429",-0.09266412,0.4633177,"Ungrouped",-0.0913403491428571,9
"450",-0.09266412,-0.46331866,"Grouped",-0.00178247230769231,9
"471",-0.09266412,-0.41698684,"Grouped",-0.0593631215625,9
"492",-0.09266412,-0.37065503,"Grouped",-0.0207699155172414,9
"513",-0.09266412,-0.32432321,"Grouped",-0.052375577826087,9
"534",-0.09266412,-0.27799139,"Grouped",-0.0449695697058824,9
"555",-0.09266412,-0.23165957,"Grouped",-0.0529511289285714,9
"576",-0.09266412,-0.18532775,"Grouped",-0.0804715318421053,9
"597",-0.09266412,-0.13899593,"Grouped",-0.0223083918518519,9
"618",-0.09266412,-0.09266412,"Grouped",-0.0360363385185185,9
"639",-0.09266412,-0.0463323,"Grouped",-0.0415393503448276,9
"660",-0.09266412,-4.8e-07,"Grouped",-0.0296528436,9
"681",-0.09266412,0.04633134,"Grouped",0.00193001333333333,9
"702",-0.09266412,0.09266316,"Grouped",-0.0259462964,9
"723",-0.09266412,0.13899498,"Grouped",-0.0141574227777778,9
"744",-0.09266412,0.18532679,"Grouped",-0.0421203145454545,9
"765",-0.09266412,0.23165861,"Grouped",-0.0162792262162162,9
"786",-0.09266412,0.27799043,"Grouped",-0.0634922296296296,9
"807",-0.09266412,0.32432225,"Grouped",-0.043436559375,9
"828",-0.09266412,0.37065407,"Grouped",-0.1260230256,9
"849",-0.09266412,0.41698588,"Grouped",0.00210551181818181,9
"870",-0.09266412,0.4633177,"Grouped",-0.0259462976,9
"10",-0.0463323,-0.46331866,"Ungrouped",0.0264748451428571,10
"31",-0.0463323,-0.41698684,"Ungrouped",0.0946775843478261,10
"52",-0.0463323,-0.37065503,"Ungrouped",-0.0202706496875,10
"73",-0.0463323,-0.32432321,"Ungrouped",-0.0758161815151515,10
"94",-0.0463323,-0.27799139,"Ungrouped",-0.0132381421428571,10
"115",-0.0463323,-0.23165957,"Ungrouped",-0.0407163190909091,10
"136",-0.0463323,-0.18532775,"Ungrouped",0.0252714218181818,10
"157",-0.0463323,-0.13899593,"Ungrouped",0.0846054491304348,10
"178",-0.0463323,-0.09266412,"Ungrouped",0.0362592047826087,10
"199",-0.0463323,-0.0463323,"Ungrouped",-0.030888358,10
"220",-0.0463323,-4.8e-07,"Ungrouped",-0.0422441952941177,10
"241",-0.0463323,0.04633134,"Ungrouped",0.0171594888888889,10
"262",-0.0463323,0.09266316,"Ungrouped",0.0129724296,10
"283",-0.0463323,0.13899498,"Ungrouped",-0.00661931142857143,10
"304",-0.0463323,0.18532679,"Ungrouped",-0.062447712173913,10
"325",-0.0463323,0.23165861,"Ungrouped",-0.00597877838709678,10
"346",-0.0463323,0.27799043,"Ungrouped",-0.0397134664285714,10
"367",-0.0463323,0.32432225,"Ungrouped",-0.0547562642424242,10
"388",-0.0463323,0.37065407,"Ungrouped",-0.0249483815384615,10
"409",-0.0463323,0.41698588,"Ungrouped",-0.00154487333333334,10
"430",-0.0463323,0.4633177,"Ungrouped",-0.0572339020588235,10
