"subNum","trial_number","cuedAR","uncuedAR","responseAR","rt","shape_org","cued_ellipse","e1_motion_dir","e2_motion_dir","round_number","coherence","cued_motion_dir","pairGlobalOrg","pairMotSame","responseError","sameARCat","pairAR_sameCondition","id","corrCoeff","corrPval"
293737,16,-0.23165957,-0.0463323,0.13899498,1536,0,2,90,270,1,0.6,270,1,0,0.37065455,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,17,0.04633134,0.09266316,0.13899498,1271,1,1,0,180,1,0.8,0,0,0,0.09266364,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,18,0.09266316,-0.27799139,-0.0463323,1774,0,2,270,270,1,0.8,270,1,1,-0.13899546,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,19,0.4633177,-0.00000048,0.09266316,1958,0,1,90,270,1,0.6,90,1,0,-0.37065454,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,20,-0.32432321,-0.00000048,0.04633134,2226,0,2,270,270,1,0.6,270,1,1,0.37065455,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,21,0.23165861,0.27799043,0.37065407,2195,0,2,0,180,1,0.6,180,1,0,0.13899546,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,22,-0.0463323,-0.23165957,0.09266316,2072,1,1,270,90,1,0.6,270,0,0,0.13899546,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,23,0.27799043,0.32432225,0.04633134,2653,1,2,0,0,1,0.6,0,0,1,-0.23165909,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,24,0.41698588,0.23165861,0.32432225,1817,1,2,270,270,1,0.6,270,0,1,-0.09266363,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,25,-0.13899593,0.41698588,0.04633134,2033,1,1,180,0,1,0.6,180,0,0,0.18532727,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,26,0.09266316,0.04633134,0.04633134,1818,0,2,270,90,1,0.6,90,1,0,-0.04633182,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,27,0.41698588,-0.46331866,-0.0463323,2027,0,1,270,270,1,0.6,270,1,1,-0.46331818,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,28,0.04633134,-0.00000048,-0.0463323,1688,1,2,180,0,1,0.8,0,0,0,-0.09266364,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,29,0.4633177,0.18532679,-0.0463323,1550,1,2,0,0,1,0.6,0,0,1,-0.50965,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,30,-0.23165957,0.41698588,-0.18532775,2415,1,2,180,180,1,0.6,180,0,1,0.04633182,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,31,0.27799043,-0.09266412,0.32432225,2438,0,1,270,270,1,0.8,270,1,1,0.04633182,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,32,0.13899498,-0.00000048,0.13899498,1574,0,1,90,270,1,0.6,90,1,0,0,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,33,-0.32432321,-0.27799139,-0.23165957,2082,1,1,180,0,1,0.6,180,0,0,0.09266364,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
